L,+++,Create Flask application to generate all files

,++,Look at tests - why exception not caught?
L,+++,Change auth so authorized from browser and variables cached
S,+++,Add custom icon to json_data ???
S,+++,Make activity boolean
M,+++,Make phase a one to many
XL,+++,Incubator
M,++,Auto generate provider link
?,+++,Verify Reminders ??
S,+++,Make default svg on frontmatter a constant env variable
M,+++,Check if anything missing from frontmatter in schema
S,+++,Add custom formatting to test.
L,++,Document all js functions
M,+++,Doc Generate certificate and token
S,+++,Doc Env vars
S,+++,Doc How to test (check)
M,+++,Front matter
S,+++,Dir structure
L,+++,Auto renew token
S,+++,Autogenerate provider-link
NA,+++,Verify output for Slack reminders
?,+++,Add document style to template
?,+++,?? Remove document style from template
?,+++,?? Autogenerate image name - if svg exists use it, else configured default
